CategoryDelivery,BrandID,Brand,total_observations,anomalies_count,median_ots,mad_ots,max_ots,max_z_score
Смартфоны,198484,apple iphone,9945,494,5478.05,3283.239,765205.8,231.39581066136213
Смартфоны,281079,samsung galaxy,7580,434,4728.9385,2784.5125000000003,374530.06,132.8064145878318
Смартфоны,207447,honor,4585,245,4324.835,2555.335,361926.60400000005,139.94320470701493
Смартфоны,216181,redmi,4691,230,4299.084,2456.465,190959.24,75.98730533510552
Смартфоны,216114,realme,3936,208,4552.966,2617.6525,270148.236,101.46315066648455
Смартфоны,215234,poco,3300,183,4535.5355,2684.7264999999998,308039.496,113.04837215261965
Смартфоны,221942,xiaomi,3255,164,4355.998,2418.8849999999993,201465.495,81.48775034778423
Смартфоны,207943,infinix,1866,117,4050.4105,2362.4880000000003,113011.196,46.1212016738286
Аудиотехника,242139,яндекс,2529,113,3958.512,2245.695,162804.576,70.73358759760342
Обувь,213474,nike,1808,113,4439.3435,2546.5905000000002,300430.112,116.23021781476055
Смартфоны,207543,huawei,2054,107,3891.803,2148.312,274299.145,125.86967907827169
Обувь,197627,adidas,1536,87,3846.8555,2006.2385,1610180.64,800.6694042109151
Смартфоны,238974,tecno spark,1278,77,3924.603,2191.7825000000003,94770.567,41.44843934103862
Смартфоны,311362,tecno pova,1121,72,3956.791,2257.7790000000005,109011.808,46.530248088940496
Крупная техника,217082,samsung,1301,68,3541.696,1868.2549999999999,106679.26,55.2052926393881
Смартфоны,217082,samsung,1445,64,3716.529,2016.4950000000003,118156.27600000001,56.75181292291823
Аудиотехника,208375,jbl (аудиотехника),1189,60,4106.687,2296.6949999999997,205187.626,87.55230407172046
Смартфоны,369276,iqoo,888,59,4047.518,2348.6115,204047.008,85.15648075469272
Смартфоны,214142,oneplus,895,58,4451.24,2601.04,345369.42,131.06994894349953
Смартфоны,214199,oppo (электроника),893,56,4292.456,2376.2920000000004,164579.487,67.45258200591508
Обувь,202423,crocs,1350,54,4079.5525,2033.6629999999998,84856.992,39.72016971346777
Смарт-часы и браслеты,207543,huawei,986,54,4213.189,2205.744,139732.572,61.439307100007966
Смартфоны,221229,vivo (электроника),1183,51,4751.735,2797.058,170098.278,59.11444918196191
Крупная техника,210322,lg,966,49,3766.7785000000003,1934.0665,121452.42000000001,60.84880819764988
Смартфоны,206402,google pixel,697,46,4849.574,2872.7599999999993,164579.487,55.601551469666816
Малая техника,221942,xiaomi,944,43,3657.5995,1811.4539999999997,83650.788,44.15965765622534
Крупная техника,206804,haier,748,42,4034.26,2118.748,275245.692,128.00551646538426
Смарт-часы и браслеты,221942,xiaomi,886,42,4136.7505,2178.646,160889.316,71.94953448150824
Смартфоны,307306,tecno camon,826,41,3668.874,2226.259,112406.574,48.84323881453146
Подгузники,214544,pampers,986,41,4440.69,2075.7029999999995,159791.478,74.84249336248973
Малая техника,214973,philips,710,40,4979.4085,2634.2164999999995,173772.508,64.07715519965805
Малая техника,213486,nikon,475,39,6329.13,3930.004,142549.214,34.661563703243054
Одежда,197627,adidas,704,37,4232.584,2316.9739999999997,1737474.3360000001,748.0626679453461
Крупная техника,219306,tcl (техника),383,36,3669.795,2100.907,134911.15,62.46890271677898
Корм для кошек,204933,felix (корм),733,34,3368.474,1587.0610000000001,56288.079,33.34440516149032
Смарт-часы и браслеты,281079,samsung galaxy,409,32,4035.243,2277.157,74965.748,31.1487108706163
Малая техника,215274,polaris (бытовая техника),608,31,3935.0605,2014.4945,56646.615000000005,26.166144658126395
Одежда,206252,gloria jeans,607,30,4162.911,1910.6509999999998,54466.942,26.328215356964723
Обувь,197548,asics,521,30,4594.963,2481.1829999999995,122836.833,47.65544097311646
Малая техника,209227,kitfort,847,29,3865.549,1915.1229999999996,75209.428,37.2528965502477
Смартфоны,213619,nokia,700,29,4208.9745,2430.7085,73835.418,28.64450570687518
Малая техника,218309,sony,375,29,4342.282,2530.1360000000004,81616.616,30.541573259303046
Малая техника,203587,dreame,517,28,4666.736,2687.9399999999996,107349.87,38.20142339486745
Одежда,213474,nike,708,28,3875.9255,2193.765,76346.109,33.03461560376795
Аудиотехника,218309,sony,498,26,3619.4025,2092.8025,47036.394,20.74586182881567
Обувь,213360,new balance,490,26,4001.9094999999998,2132.9065,63534.318,27.911400945142226
Смартфоны,219362,tecno,875,25,2894.92,1459.5790000000002,53672.548,34.789228948895534
Средства для волос,204459,estel,475,24,4002.707,1935.2779999999998,72945.186,35.624070030248895
Крупная техника,206416,gorenje,327,23,3879.755,1849.247,63469.367,32.22371700481331
Корм для кошек,221622,whiskas,663,23,3356.689,1562.1250000000005,888427.16,566.5810808994157
Малая техника,203755,dyson,459,22,3741.689,1899.1799999999998,59866.79699999999,29.552284670226097
Малая техника,216182,redmond (бытовая техника),558,22,3450.526,1634.5194999999999,71331.762,41.52978046453408
Одежда,222295,zarina,480,22,3756.038,1373.5299999999997,67684.876,46.54345955312226
Обувь,208810,kari,745,22,3817.785,1921.8910000000005,53993.244,26.10733855353919
Аудиотехника,198476,apple airpods,537,22,4491.896,2579.178,58825.023,21.066063296135436
Смартфоны,212714,motorola,274,22,3540.6014999999998,2221.188,120851.38200000001,52.81443106121589
Смартфоны,218309,sony,316,22,3880.3125,2064.755,164579.487,77.82965751384546
Крупная техника,221942,xiaomi,425,21,3682.19,1873.279,207569.853,108.83998752988744
Смарт-часы и браслеты,198504,apple watch,328,21,3760.4080000000004,1900.0440000000003,70067.012,34.897404481159384
Смарт-часы и браслеты,198151,amazfit,274,21,4240.876,2056.4245,55857.0,25.099936321513383
Детское питание,240354,фрутоняня,485,20,4130.22,1810.4410000000003,81552.59700000001,42.764374536369864
Крупная техника,242139,яндекс,320,20,3600.3525,1789.5245,115170.835,62.34644035328939
Обувь,216194,reebok,360,20,3942.029,1849.119,94998.933,49.24339861306926
Крупная техника,199833,beko,321,20,4273.713,2254.581,283985.964,124.06396177382847
Малая техника,208807,karcher,486,19,3971.189,2076.002,40352.058,17.52448648893402
Одежда,199814,befree,392,19,4597.276,2410.8325,81739.47899999999,31.99815955691654
Уход за полостью рта,218466,splat,333,19,3860.33,1805.3220000000001,81742.818,43.140496819957875
Обувь,216461,rieker,320,19,3165.355,1461.2780000000002,49690.904,31.838944403460527
Универсальные чистящие средства,206519,grass,604,19,3657.669,1741.3654999999999,62647.473000000005,33.875601647098215
Крупная техника,207286,hisense,272,19,4143.5045,2035.263,72546.448,33.608896491509945
Макияж для глаз,221223,vivienne sabo,313,18,3872.514,1998.2299999999996,51809.553,23.989750429129785
Смарт-часы и браслеты,215268,polar (бытовая техника),119,18,1528.972,490.11400000000003,18297.57,34.21366865667987
Малая техника,201236,canon,392,18,4243.744000000001,2403.4030000000002,106568.96100000001,42.575139084040416
Крупная техника,207902,indesit,423,17,3141.486,1619.3359999999998,208544.57399999996,126.84402001808148
Крупная техника,224020,atlant (бытовая техника),364,17,3679.1205,1837.938,107994.115,56.75653612907508
Аудиотехника,211419,marshall (электроника),207,17,4326.212,2686.0600000000004,70290.306,24.55793764845163
Крупная техника,203071,dexp,254,17,4052.0789999999997,2071.6360000000004,145820.88,68.43325806270985
Корм для кошек,215761,purina one,468,17,3868.2485,1956.242,47799.746,22.45708736444673
Корм для кошек,216798,royal canin,537,17,3494.943,1644.6890000000003,67011.056,38.61892005114644
Одежда,218758,stone island,219,16,3092.075,1229.793,53110.79,40.67246682978355
Крупная техника,221535,weissgauff,230,16,3937.938,2016.315,115729.25499999999,55.443379134708614
Аудиотехника,207543,huawei,307,16,4492.848,2553.398,104221.792,39.057343978494536
Смарт-часы и браслеты,216181,redmi,274,16,3986.4535,2219.8415000000005,49065.176,20.3071807153799
Товары для стирки,230759,ласка,269,16,3723.764,1629.605,51779.08,29.48893504867744
Крупная техника,212017,midea,225,16,3980.498,2057.178,141982.584,67.08320135642128
Малая техника,219383,tefal,509,16,3599.125,1642.181,106581.41,62.71067866453211
Аудиотехника,207328,hoco,310,15,4210.592,2064.4034999999994,176702.2,83.55518095178586
Краски для волос,204459,estel,417,15,4275.183,2065.683,149986.382,70.53899315625874
Уход за полостью рта,216621,rocs,290,15,4181.0785,1925.9484999999995,81742.818,40.27196962950983
Смартфоны,213703,nothing,281,15,4612.848,2551.281000000001,126341.188,47.71263533887485
Средства для волос,212359,mixit,264,15,4160.0235,1956.0100000000002,55485.516,26.23989268971017
Смартфоны,214393,oukitel,267,15,3257.091,1765.7950000000005,54943.632000000005,29.270974830034056
Товары для стирки,206519,grass,278,14,4061.5625,1799.69,46139.196,23.38048969544755
Малая техника,214553,panasonic,266,14,3553.5825,1819.5275000000001,131745.624,70.45347844426644
Обувь,219127,ttaccardi,472,14,3283.1625000000004,1439.5295000000003,27400.872,16.75388347373221
Крупная техника,224637,бирюса (техника),301,14,4095.96,2265.0060000000003,67501.89,27.99371392393662
